Index,MWh,Hora,Month,Year,Day
2024-01-01 00:00:00,910.36,00:00,January,2024,Monday
2024-01-01 01:00:00,"1,062.98",01:00,January,2024,Monday
2024-01-01 02:00:00,972.04,02:00,January,2024,Monday
2024-01-01 03:00:00,884.55,03:00,January,2024,Monday
2024-01-01 04:00:00,853.43,04:00,January,2024,Monday
2024-01-01 05:00:00,840.26,05:00,January,2024,Monday
2024-01-01 06:00:00,837.63,06:00,January,2024,Monday
2024-01-01 07:00:00,790.87,07:00,January,2024,Monday
2024-01-01 08:00:00,845.83,08:00,January,2024,Monday
2024-01-01 09:00:00,923.07,09:00,January,2024,Monday
2024-01-01 10:00:00,993.99,10:00,January,2024,Monday
2024-01-01 11:00:00,"1,064.04",11:00,January,2024,Monday
2024-01-01 12:00:00,"1,113.78",12:00,January,2024,Monday
2024-01-01 13:00:00,"1,133.28",13:00,January,2024,Monday
2024-01-01 14:00:00,"1,111.50",14:00,January,2024,Monday
2024-01-01 15:00:00,"1,090.02",15:00,January,2024,Monday
2024-01-01 16:00:00,"1,084.75",16:00,January,2024,Monday
2024-01-01 17:00:00,"1,128.44",17:00,January,2024,Monday
2024-01-01 18:00:00,"1,262.63",18:00,January,2024,Monday
2024-01-01 19:00:00,"1,420.71",19:00,January,2024,Monday
2024-01-01 20:00:00,"1,379.17",20:00,January,2024,Monday
2024-01-01 21:00:00,"1,288.16",21:00,January,2024,Monday
2024-01-01 22:00:00,"1,144.79",22:00,January,2024,Monday
2024-01-01 23:00:00,"1,007.85",23:00,January,2024,Monday
2024-01-02 00:00:00,"1,133.35",00:00,January,2024,Tuesday
2024-01-02 01:00:00,865.84,01:00,January,2024,Tuesday
2024-01-02 02:00:00,827.21,02:00,January,2024,Tuesday
2024-01-02 03:00:00,814.60,03:00,January,2024,Tuesday
2024-01-02 04:00:00,826.23,04:00,January,2024,Tuesday
2024-01-02 05:00:00,878.19,05:00,January,2024,Tuesday
2024-01-02 06:00:00,957.78,06:00,January,2024,Tuesday
2024-01-02 07:00:00,"1,107.29",07:00,January,2024,Tuesday
2024-01-02 08:00:00,"1,278.72",08:00,January,2024,Tuesday
2024-01-02 09:00:00,"1,426.18",09:00,January,2024,Tuesday
2024-01-02 10:00:00,"1,508.36",10:00,January,2024,Tuesday
2024-01-02 11:00:00,"1,510.35",11:00,January,2024,Tuesday
2024-01-02 12:00:00,"1,594.11",12:00,January,2024,Tuesday
2024-01-02 13:00:00,"1,521.34",13:00,January,2024,Tuesday
2024-01-02 14:00:00,"1,562.16",14:00,January,2024,Tuesday
2024-01-02 15:00:00,"1,562.02",15:00,January,2024,Tuesday
2024-01-02 16:00:00,"1,604.48",16:00,January,2024,Tuesday
2024-01-02 17:00:00,"1,605.09",17:00,January,2024,Tuesday
2024-01-02 18:00:00,"1,658.66",18:00,January,2024,Tuesday
2024-01-02 19:00:00,"1,766.59",19:00,January,2024,Tuesday
2024-01-02 20:00:00,"1,703.00",20:00,January,2024,Tuesday
2024-01-02 21:00:00,"1,605.33",21:00,January,2024,Tuesday
2024-01-02 22:00:00,"1,428.42",22:00,January,2024,Tuesday
2024-01-02 23:00:00,"1,266.18",23:00,January,2024,Tuesday
2024-01-03 00:00:00,"1,232.43",00:00,January,2024,Wednesday
2024-01-03 01:00:00,"1,120.40",01:00,January,2024,Wednesday
2024-01-03 02:00:00,"1,059.13",02:00,January,2024,Wednesday
2024-01-03 03:00:00,"1,063.27",03:00,January,2024,Wednesday
2024-01-03 04:00:00,"1,042.20",04:00,January,2024,Wednesday
2024-01-03 05:00:00,"1,115.95",05:00,January,2024,Wednesday
2024-01-03 06:00:00,"1,240.62",06:00,January,2024,Wednesday
2024-01-03 07:00:00,"1,294.04",07:00,January,2024,Wednesday
2024-01-03 08:00:00,"1,477.81",08:00,January,2024,Wednesday
2024-01-03 09:00:00,"1,572.52",09:00,January,2024,Wednesday
2024-01-03 10:00:00,"1,625.90",10:00,January,2024,Wednesday
2024-01-03 11:00:00,"1,688.50",11:00,January,2024,Wednesday
2024-01-03 12:00:00,"1,709.44",12:00,January,2024,Wednesday
2024-01-03 13:00:00,"1,735.68",13:00,January,2024,Wednesday
2024-01-03 14:00:00,"1,707.92",14:00,January,2024,Wednesday
2024-01-03 15:00:00,"1,732.10",15:00,January,2024,Wednesday
2024-01-03 16:00:00,"1,731.82",16:00,January,2024,Wednesday
2024-01-03 17:00:00,"1,684.84",17:00,January,2024,Wednesday
2024-01-03 18:00:00,"1,754.72",18:00,January,2024,Wednesday
2024-01-03 19:00:00,"1,874.69",19:00,January,2024,Wednesday
2024-01-03 20:00:00,"1,807.77",20:00,January,2024,Wednesday
2024-01-03 21:00:00,"1,693.35",21:00,January,2024,Wednesday
2024-01-03 22:00:00,"1,498.84",22:00,January,2024,Wednesday
2024-01-03 23:00:00,"1,351.98",23:00,January,2024,Wednesday
2024-01-04 00:00:00,"1,231.08",00:00,January,2024,Thursday
2024-01-04 01:00:00,"1,098.11",01:00,January,2024,Thursday
2024-01-04 02:00:00,"1,129.86",02:00,January,2024,Thursday
2024-01-04 03:00:00,"1,117.13",03:00,January,2024,Thursday
2024-01-04 04:00:00,"1,140.22",04:00,January,2024,Thursday
2024-01-04 05:00:00,"1,175.53",05:00,January,2024,Thursday
2024-01-04 06:00:00,"1,259.40",06:00,January,2024,Thursday
2024-01-04 07:00:00,"1,428.97",07:00,January,2024,Thursday
2024-01-04 08:00:00,"1,558.78",08:00,January,2024,Thursday
2024-01-04 09:00:00,"1,630.34",09:00,January,2024,Thursday
2024-01-04 10:00:00,"1,710.28",10:00,January,2024,Thursday
2024-01-04 11:00:00,"1,711.13",11:00,January,2024,Thursday
2024-01-04 12:00:00,"1,734.40",12:00,January,2024,Thursday
2024-01-04 13:00:00,"1,741.19",13:00,January,2024,Thursday
2024-01-04 14:00:00,"1,715.86",14:00,January,2024,Thursday
2024-01-04 15:00:00,"1,741.30",15:00,January,2024,Thursday
2024-01-04 16:00:00,"1,696.88",16:00,January,2024,Thursday
2024-01-04 17:00:00,"1,627.08",17:00,January,2024,Thursday
2024-01-04 18:00:00,"1,753.70",18:00,January,2024,Thursday
2024-01-04 19:00:00,"1,872.35",19:00,January,2024,Thursday
2024-01-04 20:00:00,"1,811.41",20:00,January,2024,Thursday
2024-01-04 21:00:00,"1,690.73",21:00,January,2024,Thursday
2024-01-04 22:00:00,"1,504.89",22:00,January,2024,Thursday
2024-01-04 23:00:00,"1,364.36",23:00,January,2024,Thursday
2024-01-05 00:00:00,"1,293.97",00:00,January,2024,Friday
2024-01-05 01:00:00,"1,157.07",01:00,January,2024,Friday
2024-01-05 02:00:00,"1,147.97",02:00,January,2024,Friday
2024-01-05 03:00:00,"1,092.82",03:00,January,2024,Friday
2024-01-05 04:00:00,"1,120.01",04:00,January,2024,Friday
2024-01-05 05:00:00,"1,146.35",05:00,January,2024,Friday
2024-01-05 06:00:00,"1,261.12",06:00,January,2024,Friday
2024-01-05 07:00:00,"1,353.77",07:00,January,2024,Friday
2024-01-05 08:00:00,"1,533.52",08:00,January,2024,Friday
2024-01-05 09:00:00,"1,641.56",09:00,January,2024,Friday
2024-01-05 10:00:00,"1,709.98",10:00,January,2024,Friday
2024-01-05 11:00:00,"1,692.34",11:00,January,2024,Friday
2024-01-05 12:00:00,"1,738.34",12:00,January,2024,Friday
2024-01-05 13:00:00,"1,764.73",13:00,January,2024,Friday
2024-01-05 14:00:00,"1,748.08",14:00,January,2024,Friday
2024-01-05 15:00:00,"1,746.18",15:00,January,2024,Friday
2024-01-05 16:00:00,"1,770.95",16:00,January,2024,Friday
2024-01-05 17:00:00,"1,655.79",17:00,January,2024,Friday
2024-01-05 18:00:00,"1,755.57",18:00,January,2024,Friday
2024-01-05 19:00:00,"1,915.90",19:00,January,2024,Friday
2024-01-05 20:00:00,"1,837.11",20:00,January,2024,Friday
2024-01-05 21:00:00,"1,711.21",21:00,January,2024,Friday
2024-01-05 22:00:00,"1,515.24",22:00,January,2024,Friday
2024-01-05 23:00:00,"1,391.59",23:00,January,2024,Friday
2024-01-06 00:00:00,"1,192.95",00:00,January,2024,Saturday
2024-01-06 01:00:00,"1,135.77",01:00,January,2024,Saturday
2024-01-06 02:00:00,"1,100.20",02:00,January,2024,Saturday
2024-01-06 03:00:00,"1,130.17",03:00,January,2024,Saturday
2024-01-06 04:00:00,"1,074.18",04:00,January,2024,Saturday
2024-01-06 05:00:00,"1,144.61",05:00,January,2024,Saturday
2024-01-06 06:00:00,"1,189.17",06:00,January,2024,Saturday
2024-01-06 07:00:00,"1,272.79",07:00,January,2024,Saturday
2024-01-06 08:00:00,"1,409.95",08:00,January,2024,Saturday
2024-01-06 09:00:00,"1,510.89",09:00,January,2024,Saturday
2024-01-06 10:00:00,"1,568.51",10:00,January,2024,Saturday
2024-01-06 11:00:00,"1,581.71",11:00,January,2024,Saturday
2024-01-06 12:00:00,"1,592.26",12:00,January,2024,Saturday
2024-01-06 13:00:00,"1,592.46",13:00,January,2024,Saturday
2024-01-06 14:00:00,"1,527.76",14:00,January,2024,Saturday
2024-01-06 15:00:00,"1,524.56",15:00,January,2024,Saturday
2024-01-06 16:00:00,"1,576.75",16:00,January,2024,Saturday
2024-01-06 17:00:00,"1,559.27",17:00,January,2024,Saturday
2024-01-06 18:00:00,"1,672.12",18:00,January,2024,Saturday
2024-01-06 19:00:00,"1,796.83",19:00,January,2024,Saturday
2024-01-06 20:00:00,"1,740.80",20:00,January,2024,Saturday
2024-01-06 21:00:00,"1,621.20",21:00,January,2024,Saturday
2024-01-06 22:00:00,"1,455.12",22:00,January,2024,Saturday
2024-01-06 23:00:00,"1,303.64",23:00,January,2024,Saturday
2024-01-07 00:00:00,"1,107.43",00:00,January,2024,Sunday
2024-01-07 01:00:00,"1,116.49",01:00,January,2024,Sunday
2024-01-07 02:00:00,"1,040.15",02:00,January,2024,Sunday
2024-01-07 03:00:00,"1,008.95",03:00,January,2024,Sunday
2024-01-07 04:00:00,"1,020.77",04:00,January,2024,Sunday
2024-01-07 05:00:00,"1,069.93",05:00,January,2024,Sunday
2024-01-07 06:00:00,"1,100.52",06:00,January,2024,Sunday
2024-01-07 07:00:00,"1,121.29",07:00,January,2024,Sunday
2024-01-07 08:00:00,"1,234.48",08:00,January,2024,Sunday
2024-01-07 09:00:00,"1,322.21",09:00,January,2024,Sunday
2024-01-07 10:00:00,"1,369.45",10:00,January,2024,Sunday
2024-01-07 11:00:00,"1,411.77",11:00,January,2024,Sunday
2024-01-07 12:00:00,"1,412.10",12:00,January,2024,Sunday
2024-01-07 13:00:00,"1,407.17",13:00,January,2024,Sunday
2024-01-07 14:00:00,"1,358.99",14:00,January,2024,Sunday
2024-01-07 15:00:00,"1,423.03",15:00,January,2024,Sunday
2024-01-07 16:00:00,"1,372.49",16:00,January,2024,Sunday
2024-01-07 17:00:00,"1,361.49",17:00,January,2024,Sunday
2024-01-07 18:00:00,"1,475.95",18:00,January,2024,Sunday
2024-01-07 19:00:00,"1,698.64",19:00,January,2024,Sunday
2024-01-07 20:00:00,"1,627.88",20:00,January,2024,Sunday
2024-01-07 21:00:00,"1,549.56",21:00,January,2024,Sunday
2024-01-07 22:00:00,"1,360.13",22:00,January,2024,Sunday
2024-01-07 23:00:00,"1,193.58",23:00,January,2024,Sunday
2024-01-08 00:00:00,"1,269.40",00:00,January,2024,Monday
2024-01-08 01:00:00,"1,018.47",01:00,January,2024,Monday
2024-01-08 02:00:00,979.46,02:00,January,2024,Monday
2024-01-08 03:00:00,962.61,03:00,January,2024,Monday
2024-01-08 04:00:00,"1,013.52",04:00,January,2024,Monday
2024-01-08 05:00:00,"1,117.32",05:00,January,2024,Monday
2024-01-08 06:00:00,"1,164.89",06:00,January,2024,Monday
2024-01-08 07:00:00,"1,305.82",07:00,January,2024,Monday
2024-01-08 08:00:00,"1,478.39",08:00,January,2024,Monday
2024-01-08 09:00:00,"1,604.33",09:00,January,2024,Monday
2024-01-08 10:00:00,"1,641.28",10:00,January,2024,Monday
2024-01-08 11:00:00,"1,732.32",11:00,January,2024,Monday
2024-01-08 12:00:00,"1,737.41",12:00,January,2024,Monday
2024-01-08 13:00:00,"1,753.74",13:00,January,2024,Monday
2024-01-08 14:00:00,"1,783.63",14:00,January,2024,Monday
2024-01-08 15:00:00,"1,775.73",15:00,January,2024,Monday
2024-01-08 16:00:00,"1,758.00",16:00,January,2024,Monday
2024-01-08 17:00:00,"1,714.51",17:00,January,2024,Monday
2024-01-08 18:00:00,"1,731.21",18:00,January,2024,Monday
2024-01-08 19:00:00,"1,900.72",19:00,January,2024,Monday
2024-01-08 20:00:00,"1,840.33",20:00,January,2024,Monday
2024-01-08 21:00:00,"1,700.52",21:00,January,2024,Monday
2024-01-08 22:00:00,"1,500.88",22:00,January,2024,Monday
2024-01-08 23:00:00,"1,360.13",23:00,January,2024,Monday
2024-01-09 00:00:00,"1,273.31",00:00,January,2024,Tuesday
2024-01-09 01:00:00,"1,188.05",01:00,January,2024,Tuesday
2024-01-09 02:00:00,"1,172.42",02:00,January,2024,Tuesday
2024-01-09 03:00:00,"1,113.97",03:00,January,2024,Tuesday
2024-01-09 04:00:00,"1,092.63",04:00,January,2024,Tuesday
2024-01-09 05:00:00,"1,181.19",05:00,January,2024,Tuesday
2024-01-09 06:00:00,"1,323.81",06:00,January,2024,Tuesday
2024-01-09 07:00:00,"1,447.60",07:00,January,2024,Tuesday
2024-01-09 08:00:00,"1,593.63",08:00,January,2024,Tuesday
2024-01-09 09:00:00,"1,610.44",09:00,January,2024,Tuesday
2024-01-09 10:00:00,"1,689.42",10:00,January,2024,Tuesday
2024-01-09 11:00:00,"1,792.80",11:00,January,2024,Tuesday
2024-01-09 12:00:00,"1,800.90",12:00,January,2024,Tuesday
2024-01-09 13:00:00,"1,748.93",13:00,January,2024,Tuesday
2024-01-09 14:00:00,"1,742.96",14:00,January,2024,Tuesday
2024-01-09 15:00:00,"1,783.66",15:00,January,2024,Tuesday
2024-01-09 16:00:00,"1,776.15",16:00,January,2024,Tuesday
2024-01-09 17:00:00,"1,783.36",17:00,January,2024,Tuesday
2024-01-09 18:00:00,"1,772.33",18:00,January,2024,Tuesday
2024-01-09 19:00:00,"1,932.19",19:00,January,2024,Tuesday
2024-01-09 20:00:00,"1,851.44",20:00,January,2024,Tuesday
2024-01-09 21:00:00,"1,740.90",21:00,January,2024,Tuesday
2024-01-09 22:00:00,"1,550.03",22:00,January,2024,Tuesday
2024-01-09 23:00:00,"1,349.94",23:00,January,2024,Tuesday
2024-01-10 00:00:00,"1,214.40",00:00,January,2024,Wednesday
2024-01-10 01:00:00,"1,182.57",01:00,January,2024,Wednesday
2024-01-10 02:00:00,"1,105.49",02:00,January,2024,Wednesday
2024-01-10 03:00:00,"1,142.62",03:00,January,2024,Wednesday
2024-01-10 04:00:00,"1,154.44",04:00,January,2024,Wednesday
2024-01-10 05:00:00,"1,223.86",05:00,January,2024,Wednesday
2024-01-10 06:00:00,"1,352.10",06:00,January,2024,Wednesday
2024-01-10 07:00:00,"1,468.54",07:00,January,2024,Wednesday
2024-01-10 08:00:00,"1,596.94",08:00,January,2024,Wednesday
2024-01-10 09:00:00,"1,668.07",09:00,January,2024,Wednesday
2024-01-10 10:00:00,"1,674.88",10:00,January,2024,Wednesday
2024-01-10 11:00:00,"1,753.10",11:00,January,2024,Wednesday
2024-01-10 12:00:00,"1,749.61",12:00,January,2024,Wednesday
2024-01-10 13:00:00,"1,783.42",13:00,January,2024,Wednesday
2024-01-10 14:00:00,"1,765.44",14:00,January,2024,Wednesday
2024-01-10 15:00:00,"1,742.83",15:00,January,2024,Wednesday
2024-01-10 16:00:00,"1,710.49",16:00,January,2024,Wednesday
2024-01-10 17:00:00,"1,679.39",17:00,January,2024,Wednesday
2024-01-10 18:00:00,"1,758.71",18:00,January,2024,Wednesday
2024-01-10 19:00:00,"1,917.80",19:00,January,2024,Wednesday
2024-01-10 20:00:00,"1,854.48",20:00,January,2024,Wednesday
2024-01-10 21:00:00,"1,739.09",21:00,January,2024,Wednesday
2024-01-10 22:00:00,"1,570.25",22:00,January,2024,Wednesday
2024-01-10 23:00:00,"1,357.31",23:00,January,2024,Wednesday
2024-01-11 00:00:00,"1,252.98",00:00,January,2024,Thursday
2024-01-11 01:00:00,"1,153.81",01:00,January,2024,Thursday
2024-01-11 02:00:00,"1,110.75",02:00,January,2024,Thursday
2024-01-11 03:00:00,"1,104.58",03:00,January,2024,Thursday
2024-01-11 04:00:00,"1,106.21",04:00,January,2024,Thursday
2024-01-11 05:00:00,"1,168.38",05:00,January,2024,Thursday
2024-01-11 06:00:00,"1,319.97",06:00,January,2024,Thursday
2024-01-11 07:00:00,"1,403.58",07:00,January,2024,Thursday
2024-01-11 08:00:00,"1,514.90",08:00,January,2024,Thursday
2024-01-11 09:00:00,"1,619.10",09:00,January,2024,Thursday
2024-01-11 10:00:00,"1,683.68",10:00,January,2024,Thursday
2024-01-11 11:00:00,"1,722.72",11:00,January,2024,Thursday
2024-01-11 12:00:00,"1,751.55",12:00,January,2024,Thursday
2024-01-11 13:00:00,"1,757.11",13:00,January,2024,Thursday
2024-01-11 14:00:00,"1,766.23",14:00,January,2024,Thursday
2024-01-11 15:00:00,"1,809.11",15:00,January,2024,Thursday
2024-01-11 16:00:00,"1,784.40",16:00,January,2024,Thursday
2024-01-11 17:00:00,"1,754.25",17:00,January,2024,Thursday
2024-01-11 18:00:00,"1,796.46",18:00,January,2024,Thursday
2024-01-11 19:00:00,"1,925.14",19:00,January,2024,Thursday
2024-01-11 20:00:00,"1,880.06",20:00,January,2024,Thursday
2024-01-11 21:00:00,"1,734.39",21:00,January,2024,Thursday
2024-01-11 22:00:00,"1,543.40",22:00,January,2024,Thursday
2024-01-11 23:00:00,"1,395.33",23:00,January,2024,Thursday
2024-01-12 00:00:00,"1,264.35",00:00,January,2024,Friday
2024-01-12 01:00:00,"1,198.34",01:00,January,2024,Friday
2024-01-12 02:00:00,"1,155.35",02:00,January,2024,Friday
2024-01-12 03:00:00,"1,123.64",03:00,January,2024,Friday
2024-01-12 04:00:00,"1,116.38",04:00,January,2024,Friday
2024-01-12 05:00:00,"1,216.10",05:00,January,2024,Friday
2024-01-12 06:00:00,"1,353.91",06:00,January,2024,Friday
2024-01-12 07:00:00,"1,438.05",07:00,January,2024,Friday
2024-01-12 08:00:00,"1,566.11",08:00,January,2024,Friday
2024-01-12 09:00:00,"1,654.69",09:00,January,2024,Friday
2024-01-12 10:00:00,"1,705.19",10:00,January,2024,Friday
2024-01-12 11:00:00,"1,785.13",11:00,January,2024,Friday
2024-01-12 12:00:00,"1,786.34",12:00,January,2024,Friday
2024-01-12 13:00:00,"1,763.17",13:00,January,2024,Friday
2024-01-12 14:00:00,"1,764.37",14:00,January,2024,Friday
2024-01-12 15:00:00,"1,756.18",15:00,January,2024,Friday
2024-01-12 16:00:00,"1,739.10",16:00,January,2024,Friday
2024-01-12 17:00:00,"1,709.62",17:00,January,2024,Friday
2024-01-12 18:00:00,"1,758.13",18:00,January,2024,Friday
2024-01-12 19:00:00,"1,903.87",19:00,January,2024,Friday
2024-01-12 20:00:00,"1,873.80",20:00,January,2024,Friday
2024-01-12 21:00:00,"1,715.96",21:00,January,2024,Friday
2024-01-12 22:00:00,"1,573.52",22:00,January,2024,Friday
2024-01-12 23:00:00,"1,387.47",23:00,January,2024,Friday
2024-01-13 00:00:00,"1,249.79",00:00,January,2024,Saturday
2024-01-13 01:00:00,"1,182.14",01:00,January,2024,Saturday
2024-01-13 02:00:00,"1,167.69",02:00,January,2024,Saturday
2024-01-13 03:00:00,"1,147.42",03:00,January,2024,Saturday
2024-01-13 04:00:00,"1,150.60",04:00,January,2024,Saturday
2024-01-13 05:00:00,"1,118.56",05:00,January,2024,Saturday
2024-01-13 06:00:00,"1,286.24",06:00,January,2024,Saturday
2024-01-13 07:00:00,"1,352.75",07:00,January,2024,Saturday
2024-01-13 08:00:00,"1,485.86",08:00,January,2024,Saturday
2024-01-13 09:00:00,"1,553.16",09:00,January,2024,Saturday
2024-01-13 10:00:00,"1,649.88",10:00,January,2024,Saturday
2024-01-13 11:00:00,"1,636.77",11:00,January,2024,Saturday
2024-01-13 12:00:00,"1,653.38",12:00,January,2024,Saturday
2024-01-13 13:00:00,"1,605.67",13:00,January,2024,Saturday
2024-01-13 14:00:00,"1,592.76",14:00,January,2024,Saturday
2024-01-13 15:00:00,"1,617.20",15:00,January,2024,Saturday
2024-01-13 16:00:00,"1,609.87",16:00,January,2024,Saturday
2024-01-13 17:00:00,"1,567.44",17:00,January,2024,Saturday
2024-01-13 18:00:00,"1,651.10",18:00,January,2024,Saturday
2024-01-13 19:00:00,"1,777.48",19:00,January,2024,Saturday
2024-01-13 20:00:00,"1,755.87",20:00,January,2024,Saturday
2024-01-13 21:00:00,"1,641.65",21:00,January,2024,Saturday
2024-01-13 22:00:00,"1,484.99",22:00,January,2024,Saturday
2024-01-13 23:00:00,"1,375.79",23:00,January,2024,Saturday
2024-01-14 00:00:00,"1,141.53",00:00,January,2024,Sunday
2024-01-14 01:00:00,"1,163.90",01:00,January,2024,Sunday
2024-01-14 02:00:00,"1,134.86",02:00,January,2024,Sunday
2024-01-14 03:00:00,"1,065.10",03:00,January,2024,Sunday
2024-01-14 04:00:00,"1,081.48",04:00,January,2024,Sunday
2024-01-14 05:00:00,"1,099.05",05:00,January,2024,Sunday
2024-01-14 06:00:00,"1,135.43",06:00,January,2024,Sunday
2024-01-14 07:00:00,"1,143.48",07:00,January,2024,Sunday
2024-01-14 08:00:00,"1,275.52",08:00,January,2024,Sunday
2024-01-14 09:00:00,"1,381.95",09:00,January,2024,Sunday
2024-01-14 10:00:00,"1,392.65",10:00,January,2024,Sunday
2024-01-14 11:00:00,"1,431.55",11:00,January,2024,Sunday
2024-01-14 12:00:00,"1,431.27",12:00,January,2024,Sunday
2024-01-14 13:00:00,"1,427.20",13:00,January,2024,Sunday
2024-01-14 14:00:00,"1,450.48",14:00,January,2024,Sunday
2024-01-14 15:00:00,"1,453.65",15:00,January,2024,Sunday
2024-01-14 16:00:00,"1,426.32",16:00,January,2024,Sunday
2024-01-14 17:00:00,"1,419.28",17:00,January,2024,Sunday
2024-01-14 18:00:00,"1,544.42",18:00,January,2024,Sunday
2024-01-14 19:00:00,"1,725.46",19:00,January,2024,Sunday
2024-01-14 20:00:00,"1,689.53",20:00,January,2024,Sunday
2024-01-14 21:00:00,"1,597.34",21:00,January,2024,Sunday
2024-01-14 22:00:00,"1,431.60",22:00,January,2024,Sunday
2024-01-14 23:00:00,"1,281.08",23:00,January,2024,Sunday
2024-01-15 00:00:00,"1,240.58",00:00,January,2024,Monday
2024-01-15 01:00:00,"1,099.84",01:00,January,2024,Monday
2024-01-15 02:00:00,"1,040.55",02:00,January,2024,Monday
2024-01-15 03:00:00,991.76,03:00,January,2024,Monday
2024-01-15 04:00:00,"1,050.84",04:00,January,2024,Monday
2024-01-15 05:00:00,"1,138.23",05:00,January,2024,Monday
2024-01-15 06:00:00,"1,303.14",06:00,January,2024,Monday
2024-01-15 07:00:00,"1,443.73",07:00,January,2024,Monday
2024-01-15 08:00:00,"1,549.40",08:00,January,2024,Monday
2024-01-15 09:00:00,"1,666.46",09:00,January,2024,Monday
2024-01-15 10:00:00,"1,719.71",10:00,January,2024,Monday
2024-01-15 11:00:00,"1,717.41",11:00,January,2024,Monday
2024-01-15 12:00:00,"1,784.25",12:00,January,2024,Monday
2024-01-15 13:00:00,"1,739.22",13:00,January,2024,Monday
2024-01-15 14:00:00,"1,816.04",14:00,January,2024,Monday
2024-01-15 15:00:00,"1,762.32",15:00,January,2024,Monday
2024-01-15 16:00:00,"1,783.74",16:00,January,2024,Monday
2024-01-15 17:00:00,"1,752.66",17:00,January,2024,Monday
2024-01-15 18:00:00,"1,757.83",18:00,January,2024,Monday
2024-01-15 19:00:00,"1,912.06",19:00,January,2024,Monday
2024-01-15 20:00:00,"1,871.38",20:00,January,2024,Monday
2024-01-15 21:00:00,"1,726.31",21:00,January,2024,Monday
2024-01-15 22:00:00,"1,559.42",22:00,January,2024,Monday
2024-01-15 23:00:00,"1,407.94",23:00,January,2024,Monday
2024-01-16 00:00:00,"1,312.56",00:00,January,2024,Tuesday
2024-01-16 01:00:00,"1,247.20",01:00,January,2024,Tuesday
2024-01-16 02:00:00,"1,163.84",02:00,January,2024,Tuesday
2024-01-16 03:00:00,"1,176.58",03:00,January,2024,Tuesday
2024-01-16 04:00:00,"1,129.39",04:00,January,2024,Tuesday
2024-01-16 05:00:00,"1,204.05",05:00,January,2024,Tuesday
2024-01-16 06:00:00,"1,364.19",06:00,January,2024,Tuesday
2024-01-16 07:00:00,"1,459.10",07:00,January,2024,Tuesday
2024-01-16 08:00:00,"1,598.72",08:00,January,2024,Tuesday
2024-01-16 09:00:00,"1,761.44",09:00,January,2024,Tuesday
2024-01-16 10:00:00,"1,758.27",10:00,January,2024,Tuesday
2024-01-16 11:00:00,"1,788.51",11:00,January,2024,Tuesday
2024-01-16 12:00:00,"1,809.53",12:00,January,2024,Tuesday
2024-01-16 13:00:00,"1,743.76",13:00,January,2024,Tuesday
2024-01-16 14:00:00,"1,766.00",14:00,January,2024,Tuesday
2024-01-16 15:00:00,"1,802.18",15:00,January,2024,Tuesday
2024-01-16 16:00:00,"1,848.14",16:00,January,2024,Tuesday
2024-01-16 17:00:00,"1,779.29",17:00,January,2024,Tuesday
2024-01-16 18:00:00,"1,772.96",18:00,January,2024,Tuesday
2024-01-16 19:00:00,"1,968.13",19:00,January,2024,Tuesday
2024-01-16 20:00:00,"1,900.85",20:00,January,2024,Tuesday
2024-01-16 21:00:00,"1,782.99",21:00,January,2024,Tuesday
2024-01-16 22:00:00,"1,562.27",22:00,January,2024,Tuesday
2024-01-16 23:00:00,"1,365.38",23:00,January,2024,Tuesday
2024-01-17 00:00:00,"1,256.53",00:00,January,2024,Wednesday
2024-01-17 01:00:00,"1,235.55",01:00,January,2024,Wednesday
2024-01-17 02:00:00,"1,197.81",02:00,January,2024,Wednesday
2024-01-17 03:00:00,"1,183.89",03:00,January,2024,Wednesday
2024-01-17 04:00:00,"1,142.89",04:00,January,2024,Wednesday
2024-01-17 05:00:00,"1,276.84",05:00,January,2024,Wednesday
2024-01-17 06:00:00,"1,432.74",06:00,January,2024,Wednesday
2024-01-17 07:00:00,"1,512.90",07:00,January,2024,Wednesday
2024-01-17 08:00:00,"1,627.17",08:00,January,2024,Wednesday
2024-01-17 09:00:00,"1,667.71",09:00,January,2024,Wednesday
2024-01-17 10:00:00,"1,713.60",10:00,January,2024,Wednesday
2024-01-17 11:00:00,"1,732.36",11:00,January,2024,Wednesday
2024-01-17 12:00:00,"1,774.10",12:00,January,2024,Wednesday
2024-01-17 13:00:00,"1,786.39",13:00,January,2024,Wednesday
2024-01-17 14:00:00,"1,784.18",14:00,January,2024,Wednesday
2024-01-17 15:00:00,"1,798.50",15:00,January,2024,Wednesday
2024-01-17 16:00:00,"1,782.23",16:00,January,2024,Wednesday
2024-01-17 17:00:00,"1,773.05",17:00,January,2024,Wednesday
2024-01-17 18:00:00,"1,786.82",18:00,January,2024,Wednesday
2024-01-17 19:00:00,"1,958.54",19:00,January,2024,Wednesday
2024-01-17 20:00:00,"1,877.09",20:00,January,2024,Wednesday
2024-01-17 21:00:00,"1,762.87",21:00,January,2024,Wednesday
2024-01-17 22:00:00,"1,578.26",22:00,January,2024,Wednesday
2024-01-17 23:00:00,"1,416.55",23:00,January,2024,Wednesday
2024-01-18 00:00:00,"1,332.13",00:00,January,2024,Thursday
2024-01-18 01:00:00,"1,207.26",01:00,January,2024,Thursday
2024-01-18 02:00:00,"1,214.88",02:00,January,2024,Thursday
2024-01-18 03:00:00,"1,164.13",03:00,January,2024,Thursday
